"id","name","grid","homepage","rdf-schema#seeAlso","owl#sameAS","created"
"20455151","Air Liquide","grid.476009.c","https://web.archive.org/web/20100205175402/http://airliquide.com/en/home.html","http://en.wikipedia.org/wiki/Air_Liquide","http://dbpedia.org/resource/Air_Liquide","2016-06-24"
"35926432","Mackay Medical College","grid.452449.a","http://www.mmc.edu.tw/","http://en.wikipedia.org/wiki/Mackay_Medical_College","http://dbpedia.org/resource/Mackay_Medical_College","2016-06-24"
"37448385","Chinese People&#039;s Public Security University","","http://www.ppsuc.edu.cn/","http://en.wikipedia.org/wiki/People's_Public_Security_University_of_China","http://dbpedia.org/resource/People's_Public_Security_University_of_China","2016-06-24"
"37712293","Madeira Interactive Technologies Institute","","http://www.m-iti.org/","http://en.wikipedia.org/wiki/Madeira_Interactive_Technologies_Institute","http://dbpedia.org/resource/Madeira_Interactive_Technologies_Institute","2016-06-24"
"50614327","Amec Foster Wheeler","grid.436455.5","http://www.amecfw.com/","http://en.wikipedia.org/wiki/Amec_Foster_Wheeler","http://dbpedia.org/resource/Amec_Foster_Wheeler","2016-06-24"
"71576600","Ural State Mining University","grid.446243.3","http://www.ursmu.ru/","http://en.wikipedia.org/wiki/Ural_State_Mining_University","http://dbpedia.org/resource/Ural_State_Mining_University","2016-06-24"
"76806421","SELEX Sistemi Integrati","grid.9371.c","http://www.leonardocompany.com//","http://en.wikipedia.org/wiki/SELEX_Sistemi_Integrati","http://dbpedia.org/resource/SELEX_Sistemi_Integrati","2016-06-24"
"78757542","University of Newcastle","grid.266842.c","http://www.newcastle.edu.au/","http://en.wikipedia.org/wiki/University_of_Newcastle_(Australia)","http://dbpedia.org/resource/University_of_Newcastle_(Australia)","2016-06-24"
"80046288","Walden University","grid.412868.1","http://www.waldenu.edu/","http://en.wikipedia.org/wiki/Walden_University","http://dbpedia.org/resource/Walden_University","2016-06-24"
"81020251","Great Lakes Institute of Management","grid.464927.a","","","","2016-06-24"
"83776822","Shandong Institute of Business and Technology","grid.443652.2","http://www.sdibt.edu.cn/","http://en.wikipedia.org/wiki/Shandong_Institute_of_Business_and_Technology","http://dbpedia.org/resource/Shandong_Institute_of_Business_and_Technology","2016-06-24"
"126884977","Kansai Medical University","grid.410783.9","http://www.kmu.ac.jp/","http://en.wikipedia.org/wiki/Kansai_Medical_University","http://dbpedia.org/resource/Kansai_Medical_University","2016-06-24"
"132349299","Idexx Laboratories","grid.493313.f","http://www.idexx.com/","http://en.wikipedia.org/wiki/Idexx_Laboratories","http://dbpedia.org/resource/Idexx_Laboratories","2016-06-24"
"154099455","Shandong University","grid.27255.37","http://www.sdu.edu.cn/","http://en.wikipedia.org/wiki/Shandong_University","http://dbpedia.org/resource/Shandong_University","2016-06-24"
"162489102","University of Batna","grid.440475.6","http://www.univ-batna.dz/","http://en.wikipedia.org/wiki/University_of_Batna","http://dbpedia.org/resource/University_of_Batna","2016-06-24"
"165644332","Jalpaiguri Government Engineering College","","http://www.jgec.org/","http://en.wikipedia.org/wiki/Jalpaiguri_Government_Engineering_College","http://dbpedia.org/resource/Jalpaiguri_Government_Engineering_College","2016-06-24"
"167598709","Osaka Ohtani University","grid.412394.9","http://www.osaka-ohtani.ac.jp/","http://en.wikipedia.org/wiki/Osaka_Ohtani_University","http://dbpedia.org/resource/Osaka_Ohtani_University","2016-06-24"
"178498160","American University in Bulgaria","grid.445318.f","http://www.aubg.edu/","http://en.wikipedia.org/wiki/American_University_in_Bulgaria","http://dbpedia.org/resource/American_University_in_Bulgaria","2016-06-24"
