"id","name","ispartof","location","homepage","timeline.owl#start","timeline.owl#end","abstractregistrationdate","notificationduedate","submissiondeadlinedate","finalversionduedate","created"
"7785157","TIME 2008","2624631009","http://dbpedia.org/resource/Montreal","http://www.time2008.org/","2008-06-16","2008-06-18",NULL,NULL,"2008-01-11",NULL,"2016-06-24"
"15420687","IPMU 2008","1128239323","http://dbpedia.org/resource/Málaga","http://www.gimac.uma.es/ipmu08","2008-06-22","2008-06-27",NULL,NULL,"2007-12-07",NULL,"2016-06-24"
"18230910","SASN 2009","1128894334","http://dbpedia.org/resource/Saint_Petersburg","http://www.ieee-sasn.org/index.html","2009-10-12","2009-10-14","2009-06-19","2009-07-31","2009-06-26","2009-09-11","2016-06-24"
"31227610","EUROCON 2011","1190350587","http://dbpedia.org/resource/Lisbon","http://www.eurocon2011.it.pt/","2011-04-27","2011-04-29",NULL,"2011-01-30","2010-10-30","2011-02-28","2016-06-24"
"44720736","SKG 2010","1135681269","http://dbpedia.org/resource/Ningbo","http://www.culturegrid.net/skg2010/","2010-11-01","2010-11-03",NULL,"2010-04-25","2010-03-15","2010-05-30","2016-06-24"
"59954559","SoCPaR 2010","1180161503","http://dbpedia.org/resource/Paris","http://www.socpar.org/index.html","2010-12-07","2010-12-10",NULL,"2010-08-31","2010-08-10","2010-10-30","2016-06-24"
"68472377","CARE 2010","1142184186","http://dbpedia.org/resource/Toronto","http://www.csse.monash.edu.au/~xtg/CARE2010/","2010-08-31","2010-08-31","2010-04-14","2010-05-28","2010-04-16","2010-06-07","2016-06-24"
"117819942","SCSC 2012","1179516875","http://dbpedia.org/resource/Genoa","http://www.msc-les.org/Conf/SCSC2012/index.htm","2012-07-08","2012-07-11",NULL,"2012-03-15","2012-02-01","2012-04-16","2016-06-24"
"126949542","TSD 2009","1142381819","http://dbpedia.org/resource/Plzeň","http://www.tsdconference.org/","2009-09-13","2009-09-18",NULL,"2009-05-15","2009-03-22","2009-05-31","2016-06-24"
"151301214","PLDI 2013","1127352206","http://dbpedia.org/resource/Seattle","http://pldi2013.ucombinator.org/","2013-06-16","2013-06-21",NULL,"2013-02-05","2012-11-11",NULL,"2016-06-24"
