"id","name","created","issn","homepage"
"2898589201","EMC - T&#x00E9;cnicas Quir&#x00FA;rgicas - Ortopedia y Traumatolog&#x00ED;a","2018-11-02","2211-033X","https://www.journals.elsevier.com/emc-tecnicas-quirurgicas-ortopedia-y-traumatologi"
"548917","Journal of Nutritional Biochemistry","2016-06-24","0955-2863","http://www.journals.elsevier.com/the-journal-of-nutritional-biochemistry"
"5675302","Clinical Gerontologist","2016-06-24","0731-7115",NULL
"26175489","Marine Geodesy","2016-06-24","0149-0419",NULL
"27605946","Radiochemistry","2016-06-24","1066-3622",NULL
"30364472","Bunseki Kagaku","2016-06-24","0525-1931",NULL
"44132668","Acute Pain","2016-06-24","1366-0071",NULL
"44571845","Journal of Zoology","2016-06-24","0952-8369","http://www.blackwellpublishing.com/jz"
"46096565","Foot and Ankle Clinics of North America","2016-06-24",NULL,NULL
"46116266","Reviews in Gastroenterological Disorders","2016-06-24","1533-001X",NULL
"49393431","Journal of Wood Science","2016-06-24","1435-0211",NULL
"58891722","Monthly Labor Review","2016-06-24","0098-1818",NULL
"60115552","Computers, Environment and Urban Systems","2016-06-24","0198-9715",NULL
"64143016","Constellations","2016-06-24","1351-0487","http://constellationsjournal.org/index.htm"
"64621741","Journal of Computer-aided Molecular Design","2016-06-24","0920-654X",NULL
"72845316","Zeitschrift Fur Geburtshilfe Und Neonatologie","2016-06-24","0948-2393",NULL
"81722299","Aquatic Insects","2016-06-24","0165-0424",NULL
"84964104","Numerical Heat Transfer Part A-applications","2016-06-24","1040-7782",NULL
"86117285","Directieve therapie","2016-06-24","0167-238X",NULL
"91021310","Mutation Research-dna Repair","2016-06-24",NULL,NULL
"96708334","Journal of Family Theory and Review","2016-06-24","1756-2570","http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1756-258"
"102926519","Supportive Cancer Therapy","2016-06-24","1543-2912",NULL
"103225281","NeuroImage","2016-06-24","1053-8119","http://www.elsevier.com/locate/ynim"
"105785753","Ulster Medical Journal","2016-06-24","0041-6193",NULL
"108074651","Annual Review of Applied Linguistics","2016-06-24","0267-1905",NULL
"115136864","Current Problems in Cancer","2016-06-24","0147-0272",NULL
"115725456","University of Pennsylvania Journal of Business Law","2016-06-24","1945-2934","https://www.law.upenn.edu/journals/jbl"
"127220685","Cells Tissues Organs","2016-06-24","1422-6405",NULL
"128894006","International Nursing Review","2016-06-24","0020-8132",NULL
"129686714","Journal of Risk Research","2016-06-24","1366-9877",NULL
"140302479","Bulletin of the American Meteorological Society","2016-06-24","0003-0007","http://www.ametsoc.org/pubs/bams"
"146394972","Metals and Materials","2016-06-24",NULL,NULL
"157188123","Journal of Slavic Military Studies","2016-06-24","1351-8046","http://www.tandfonline.com/action/journalInformation?journalCode=fslv2"
"161883588","Science Education","2016-06-24","0036-8326",NULL
"167491010","Family Process","2016-06-24","0014-7370","http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1545-530"
"167919573","Chinese Chemical Letters","2016-06-24","1001-8417",NULL
"168584722","Food Hydrocolloids","2016-06-24","0268-005X",NULL
"168828829","Eos, Transactions American Geophysical Union","2016-06-24","2324-9250",NULL
"172564241","Critique","2016-06-24",NULL,NULL
"175992573","Brazilian Archives of Biology and Technology","2016-06-24","1516-8913",NULL
"177334458","Journal of Investigative Psychology and Offender Profiling","2016-06-24","1544-4759",NULL
"181082468","Canadian Journal of Experimental Psychology","2016-06-24","1196-1961","http://www.cpa.ca/membership/membershipbenefitsandservices/cpajournals/CJE"
"190411402","Journal of Equine Science","2016-06-24","1340-3516",NULL
"197000376","The Prostate","2016-06-24","0270-4137","http://onlinelibrary.wiley.com/journal/10.1002/%28ISSN%291097-004"
"202109368","Saeculum","2016-06-24","0080-5319",NULL
"203352922","Polymer-plastics Technology and Engineering","2016-06-24","0360-2559",NULL
"1038890340","Physics","2016-06-24","1943-2879","http://physics.aps.org"
"2737265183","Folia Toruniensia","2017-07-31","1641-3792",NULL
"2738829075","Revista Ibero-Americana de Ci&#x00EA;ncia da Informa&#x00E7;&#x00E3;o","2017-07-31","1983-5213",NULL
"2752308825","Sovetskaia meditsina","2017-09-15","0038-5077",NULL
"2753995990","Bollettino dell&#039;Istituto sieroterapico milanese","2017-09-25","0021-2547",NULL
"2754509319","Archivos del Instituto de Cardiologi&#x0301;a de Me&#x0301;xico","2017-09-25","0020-3785",NULL
"2754817380","Tidskrift fo&#x0308;r Sveriges sjuksko&#x0308;terskor","2017-09-25","0037-6027",NULL
"2756050839","Medical economics","2017-09-25","0025-7206",NULL
"2764355200","Innovations in pharmacy","2017-10-27","2155-0417",NULL
"2764371241","AFRREV IJAH: An International Journal of Arts and Humanities","2017-10-27","2227-5452",NULL
"2764409277","The Journal of Hospitality and Tourism Education","2017-10-27",NULL,NULL
"2764466053","The Australian mathematics teacher","2017-10-27","0045-0685",NULL
"2764563877","European Research Studies Journal","2017-10-27","1108-2976",NULL
"2764600234","Practical Diabetes","2017-10-27","2047-2900",NULL
"2764606553","Journal of pediatric surgery case reports","2017-10-27","2213-5766",NULL
"2764654660","Economic history of developing regions","2017-10-27","2078-0389",NULL
"2764767580","International Journal of Current Pharmaceutical Research","2017-10-27","0975-7066",NULL
"2764775766","Herald of Dagestan State Technical University. Technical Sciences","2017-10-27",NULL,NULL
"2764786710","The Nova Scotia medical bulletin","2017-10-27","0029-5094",NULL
"2764790676","The GI forefront","2017-10-27","1349-9629",NULL
"2764829743","Eurasian Journal of Analytical Chemistry","2017-10-27","1306-3057",NULL
"2764859879","Medical Recapitulate","2017-10-27",NULL,NULL
"2764873337","International Journal of Nonlinear Analysis and Applications","2017-10-27","2008-6822",NULL
"2764920173","The Environmental Law Reporter","2017-10-27","0046-2284",NULL
"2764931795","Journal of Aquatic Ecology","2017-10-27",NULL,NULL
"2765018810","Journal of Industrial and Production Engineering","2017-10-27","2168-1015",NULL
"2898450218","Cl&#x00ED;nica e Investigaci&#x00F3;n en Arteriosclerosis","2018-11-02","0214-9168","https://www.journals.elsevier.com/clinica-e-investigacion-en-arteriosclerosi"
"2898451984","Revista Brasileira de Ci&#x00EA;ncias do Esporte","2018-11-02","0101-3289","https://www.journals.elsevier.com/revista-brasileira-de-ciencias-do-esport"
"3012868290","Journal of Zhejiang University (Medical Sciences)","2020-03-27","1008-9292","http://www.zjujournals.com/med/EN/1008-9292/home.shtm"
"11233208","Asian Social Work and Policy Review","2016-06-24","1753-1403",NULL
"16647404","Psychological Inquiry","2016-06-24","1047-840X","http://www.tandf.co.uk/journals/journal.asp?issn=1047-840"
"17203304","Automatic Control and Computer Sciences","2016-06-24","0146-4116",NULL
"20152851","International Journal of Educational Development","2016-06-24","0738-0593",NULL
"21299528","Community College Journal of Research and Practice","2016-06-24","1066-8926",NULL
"23629409","Journals of Gerontology Series B-psychological Sciences and Social Sciences","2016-06-24",NULL,NULL
"30163770","Journal of Information &amp; Knowledge Management","2016-06-24","0219-6492","http://www.worldscinet.com/jikm/jikm.shtm"
"31573680","Journal of Parasitology","2016-06-24","0022-3395","http://amsocparasit.org/journal/overvie"
"32501086","Diabetes Aktuell","2016-06-24","1861-6089",NULL
"33078653","South African Journal of Psychology","2016-06-24","0081-2463",NULL
"38956312","The Jewish Quarterly Review","2016-06-24","0021-6682","http://jqr.pennpress.org"
"39243548","Computational Optimization and Applications","2016-06-24","0926-6003",NULL
"49236851","Surgical Laparoscopy Endoscopy &amp; Percutaneous Techniques","2016-06-24",NULL,NULL
"57062392","International Journal of Computer Integrated Manufacturing","2016-06-24","0951-192X",NULL
"62676688","Combustion Science and Technology","2016-06-24","0010-2202",NULL
"70718007","Chaos Solitons &amp; Fractals","2016-06-24","0960-0779",NULL
"71663709","Journal of Progressive Human Services","2016-06-24","1042-8232",NULL
"75983570","Journal of Bronchology","2016-06-24","1070-8030",NULL
"79872515","Transactions of The Indian Ceramic Society","2016-06-24","0371-750X",NULL
"81330422","Health Education Research","2016-06-24","0268-1153",NULL
"84102035","International Review of Cytology-a Survey of Cell Biology","2016-06-24",NULL,NULL
"87194268","Sciences Sociales Et Sante","2016-06-24","0294-0337",NULL
"88457980","International Journal of Law Crime and Justice","2016-06-24","1876-763X",NULL
"90613825","Journal of Cardiovascular Medicine","2016-06-24","1558-2027",NULL
"97909361","Journal of Geodesy","2016-06-24",NULL,NULL
"100141487","Growth and Change","2016-06-24","0017-4815","http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-225"
"102497307","Urban Water","2016-06-24","1462-0758",NULL
"105406693","Archives Des Maladies Du Coeur Et Des Vaisseaux","2016-06-24",NULL,NULL
"108408918","International Journal of Biomedical Imaging","2016-06-24","1687-4188",NULL
"115455909","Plant Physiology and Biochemistry","2016-06-24","0981-9428",NULL
"116042850","Chonnam Medical Journal","2016-06-24","0377-9564",NULL
"119804270","Annales Aequatoria","2016-06-24","0304-257X","http://www.aequatoria.be/04engels/020publications_en/0229ann_presentation_en.ht"
"120070924","World Journal of Emergency Surgery","2016-06-24","1749-7922",NULL
"120213556","Journal of Infrared, Millimeter, and Terahertz Waves","2016-06-24","1866-6892","http://www.springer.com/engineering/electronics/journal/1076"
"125499977","Bit Numerical Mathematics","2016-06-24",NULL,NULL
"126561628","Journal of Psychoeducational Assessment","2016-06-24","0734-2829","http://jpa.sagepub.com"
"126647188","Irish Studies Review","2016-06-24","0967-0882",NULL
"128164250","The Journal of Ayn Rand Studies","2016-06-24","1526-1018","http://www.aynrandstudies.com"
"128555845","Toxicology","2016-06-24","0300-483X","http://www.elsevier.com/wps/find/journaldescription.cws_home/505518/description#descriptio"
"129086836","Real Estate Economics","2016-06-24","1080-8620",NULL
"137740113","Journal of The European Academy of Dermatology and Venereology","2016-06-24","0926-9959",NULL
"138712653","Homo Oeconomicus","2016-06-24","0943-0180",NULL
"139838620","Obstetrics &amp; Gynecology","2016-06-24","0029-7844","http://journals.lww.com/greenjournal/pages/default.asp"
"140906811","Phycologia","2016-06-24","0031-8884",NULL
"148536510","Protein Engineering","2016-06-24",NULL,NULL
"151374650","Significance","2016-06-24","1740-9705",NULL
"157344451","South African Journal of Economic and Management Sciences","2016-06-24","2222-3436",NULL
"158036907","Molecular Brain Research","2016-06-24","0169-328X","http://www.sciencedirect.com/science/journal/0169328"
"159844132","Oberwolfach Reports","2016-06-24","1660-8933",NULL
"163227809","Studi Francesi","2016-06-24","0039-2944",NULL
"167965768","Cranio-the Journal of Craniomandibular Practice","2016-06-24","0886-9634",NULL
"171812798","Metroeconomica","2016-06-24","0026-1386",NULL
"174543811","Kant-studien","2016-06-24",NULL,NULL
"180401253","Pharmacological Reports","2016-06-24","1734-1140",NULL
"184846731","International Journal of Human Resource Management","2016-06-24","0958-5192",NULL
"199030710","Current Nanoscience","2016-06-24","1573-4137",NULL
"201767588","Accounting, Management and Information Technologies","2016-06-24","0959-8022",NULL
"201849197","Numerische Mathematik","2016-06-24",NULL,NULL
"205066066","Metals and Materials International","2016-06-24","1598-9623",NULL
"946213959","Atmosphere","2016-06-24","2073-4433","http://www.mdpi.com/journal/atmospher"
"2504487511","International Journal of Engineering and Manufacturing","2016-08-23","2305-3631",NULL
"2596715200","arXiv: Differential Geometry","2017-03-23",NULL,NULL
"2736615430","Medical Journal of Indonesia","2017-07-31","2252-8083",NULL
"2737761232","Intensive Care Medicine Experimental","2017-07-31","2197-425X",NULL
"2738335941","Journal of Youth Development","2017-07-31","2325-4017",NULL
"2755746917","The Journal of the Medical Society of New Jersey","2017-09-25","0025-7524",NULL
"2756180642","Zeitschrift fu&#x0308;r Urologie","2017-09-25","0863-0267",NULL
"2756364870","Allergie und Immunologie","2017-09-25","0323-4398",NULL
"2756439329","Giornale italiano di cardiologia","2017-09-25","0046-5968",NULL
"2764512808","Faculty Dental Journal","2017-10-27","2042-6852",NULL
"2764585011","Journal of Universal College of Medical Sciences","2017-10-27","2350-8582",NULL
"2764586180","International Journal of Health Sciences and Research","2017-10-27","2249-9571",NULL
"2764599444","Universal Journal of Physics and Application","2017-10-27",NULL,NULL
"2764630706","Journal of Case Reports","2017-10-27",NULL,NULL
"2764648653","New Mexico law review","2017-10-27","0028-6214",NULL
"2764695561","Progress in hematology","2017-10-27","0079-6301",NULL
"2764707208","Enzymologia","2017-10-27","0013-9424",NULL
"2764757615","Ukrainian Journal of Ecology","2017-10-27","2520-2138",NULL
"2764789179","Journal of the National Association of Administrative Law Judiciary","2017-10-27","0735-0821",NULL
"2764793732","Asia Review","2017-10-27",NULL,NULL
"2764875715","Technical bulletin of Faculty of Agriculture, Kagawa University","2017-10-27","0368-5128",NULL
"2764896954","International Journal of Medicinal and Aromatic Plants","2017-10-27","2249-4340",NULL
"2764909107","South African Journal of Art History","2017-10-27","0258-3542",NULL
"2764911580","Communications for Statistical Applications and Methods","2017-10-27","2287-7843",NULL
"2764945005","Bulletin of the Faculty of Agriculture, Miyazaki University","2017-10-27","0544-6066",NULL
"2764971080","Journal of economics and sustainable development","2017-10-27",NULL,NULL
"2765023254","Transactions of the American Climatological and Clinical Association. American Climatological and Clinical Association","2017-10-27","0743-3255",NULL
"2765061134","International Journal of Open Information Technologies","2017-10-27","2307-8162",NULL
"2898498976","Revista Espa&#x00F1;ola de Cirug&#x00ED;a Ortop&#x00E9;dica y Traumatolog&#x00ED;a","2018-11-02","1888-4415","https://www.journals.elsevier.com/revista-espanola-de-cirugia-ortopedica-y-traumatologi"
"2738243362","Iatreia","2017-07-31","0121-0793",NULL
"2898508869","Ansiedad y Estr&#x00E9;s","2018-11-02","1134-7937","https://www.journals.elsevier.com/ansiedad-y-estre"
"5444993","Studia Geophysica Et Geodaetica","2016-06-24","0039-3169",NULL
"6013065","Journal of Management &amp; Governance","2016-06-24","1385-3457",NULL
"7313788","Behavioural Psychotherapy","2016-06-24",NULL,NULL
"15046742","Minimally Invasive Surgery","2016-06-24","2090-1445",NULL
"19541889","Clinical Journal of Sport Medicine","2016-06-24","1050-642X",NULL
"24679186","Italian Journal of Zoology","2016-06-24",NULL,NULL
"28635856","Critical Reviews in Biotechnology","2016-06-24","0738-8551","http://www.tandfonline.com/ibt"
"29397052","American Review of Canadian Studies","2016-06-24","0272-2011",NULL
"31541005","Journal De Physique Iii","2016-06-24",NULL,NULL
"31601913","Higher Education Research &amp; Development","2016-06-24",NULL,NULL
"35423025","European Journal of Cancer Prevention","2016-06-24","0959-8278","http://journals.lww.com/eurjcancerprev/pages/default.asp"
"36953782","Tradition","2016-06-24","0041-0608","http://www.traditiononline.org"
"38762416","The Old Testament Student","2016-06-24",NULL,NULL
"54255202","The Geographical Journal","2016-06-24","0016-7398","http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1475-495"
"56736983","Hiv Medicine","2016-06-24","1464-2662",NULL
"59043349","International Journal of Radiation Applications and Instrumentation. Part B. Nuclear Medicine and Biology","2016-06-24","0883-2897",NULL
"70161554","Journal of Plant Biochemistry and Biotechnology","2016-06-24","0971-7811",NULL
"70185877","Journal of Medical Ethics","2016-06-24","0306-6800","http://jme.bmj.com"
"81455456","Womens Health Issues","2016-06-24","1049-3867",NULL
"81563257","Developmental and Comparative Immunology","2016-06-24","0145-305X",NULL
"90573048","Agriculture and Environment","2016-06-24","0304-1131",NULL
"94020291","Sexual and Relationship Therapy","2016-06-24","1468-1994",NULL
"99462834","Heredity","2016-06-24","0018-067X","http://www.nature.com/hdy"
"100140721","Physical Geography","2016-06-24","0272-3646",NULL
"105083709","Nutrition and Cancer","2016-06-24","0163-5581","http://www.tandf.co.uk/journals/authors/hnucauth.as"
"105288734","South African Historical Journal","2016-06-24","1726-1686",NULL
"109088475","Appalachian Heritage","2016-06-24","1940-5081",NULL
"110033974","Chinese Physics Letters","2016-06-24","0256-307X","http://cpl.iphy.ac.cn/EN/volumn/home.shtm"
"115998457","Journal of Soils and Sediments","2016-06-24","1439-0108",NULL
"116662517","Asian Economic Journal","2016-06-24","1351-3958",NULL
"120468088","Cytology and Genetics","2016-06-24","1934-9440",NULL
"126635229","Developmental Psychology","2016-06-24","0012-1649","http://www.apa.org/journals/dev"
"132304417","Child Care Quarterly","2016-06-24","0045-6632",NULL
"134535697","BMC Pediatrics","2016-06-24","1471-2431",NULL
"139755438","Lwt - Food Science and Technology","2016-06-24",NULL,NULL
"149459226","Neurotoxicology and Teratology","2016-06-24","0892-0362","http://www.journals.elsevier.com/neurotoxicology-and-teratology"
"155002599","Informatik Spektrum","2016-06-24","0170-6012",NULL
"162191074","Advances in Skin &amp; Wound Care","2016-06-24","1527-7941",NULL
"164789166","Journal of Phycology","2016-06-24","0022-3646","http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1529-881"
"171866559","Recent Patents on Nanotechnology","2016-06-24","1872-2105",NULL
"174413665","Review of Income and Wealth","2016-06-24","0034-6586","http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1475-499"
"178158586","Sabrao Journal of Breeding and Genetics","2016-06-24","1029-7073",NULL
"180657665","Violence Against Women","2016-06-24","1077-8012","http://vaw.sagepub.com"
"181831623","Philippine Journal of Otolaryngology Head and Neck Surgery","2016-06-24",NULL,NULL
"183937543","Theoretical Linguistics","2016-06-24","0301-4428","http://www.degruyter.com/rs/384_411_ENU_h.ht"
"190716948","Nonlinear Processes in Geophysics","2016-06-24","1023-5809",NULL
"202798957","Brazilian Oral Research","2016-06-24","1806-8324",NULL
"206927758","Computer-aided Civil and Infrastructure Engineering","2016-06-24","1093-9687",NULL
"207038935","Prevenzione &amp; Assistenza Dentale","2016-06-24","0393-9960",NULL
"1036238847","Best Practice &amp; Research: Clinical Rheumatology","2016-06-24","1521-6942","http://www.elsevier.com/wps/find/journaldescription.cws_home/623005/description#descriptio"
"2482021738","Ecology and Evolution","2016-08-23","2045-7758","http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2045-775"
"2736717198","Pensamiento Palabra y Obra","2017-07-31","2011-804X",NULL
"2737535994","Contadur&#x00ED;a y Administraci&#x00F3;n","2017-07-31","0186-1042",NULL
"2739169767","Complex Manifolds","2017-07-31","2300-7443",NULL
"2739444930","Journal of Public Health in Africa","2017-07-31","2038-9930",NULL
"2754339073","Archives belges de dermatologie et de syphiligraphie","2017-09-25","0003-956X",NULL
"2754470563","GANN Japanese Journal of Cancer Research","2017-09-25","0016-450X",NULL
"2755009278","The Physiologist","2017-09-25","0031-9376",NULL
"2756129150","Methods in molecular medicine","2017-09-25","1543-1894",NULL
"2764351849","Refrigeration and Air-Conditioning","2017-10-27",NULL,NULL
"2764460200","Current protocols in immunology","2017-10-27","1934-3671",NULL
"2764470529","Journal of Insurance Issues","2017-10-27",NULL,NULL
"2764506177","North Wind: A Journal of George MacDonald Studies","2017-10-27",NULL,NULL
"2764526988","Tourism Tribune","2017-10-27","1002-5006",NULL
"2764557734","Shanghai Coatings","2017-10-27",NULL,NULL
"2764567249","Bailli&#x00E8;re&#039;s clinical anaesthesiology","2017-10-27","0950-3501",NULL
"2764736405","European Journal of Multidisciplinary Studies","2017-10-27","2414-8385",NULL
"2764762859","Journal of orthopaedic surgery","2017-10-27","1022-5536",NULL
"2764819421","American journal of public hygiene","2017-10-27",NULL,NULL
"2764868687","Metal progress","2017-10-27","0026-0665",NULL
"2764894999","Journal of International Society of Preventive and Community Dentistry","2017-10-27","2231-0762",NULL
"2764900900","Local Government Law Journal","2017-10-27","1598-6128",NULL
"2764911704","Energy Strategy Reviews","2017-10-27","2211-467X",NULL
"2764943834","Journal of the Japanese Society of Agricultural Machinery","2017-10-27",NULL,NULL
"2764950441","Journal of Zosen Kiokai","2017-10-27","1884-2062",NULL
"11065456","Concurrency and Computation: Practice and Experience","2016-06-24","1532-0634",NULL
"12874817","Autoimmunity Reviews","2016-06-24","1568-9972",NULL
"15621486","Studia Socjologiczne","2016-06-24","0039-3371","http://www.studiasocjologiczne.pl"
"17808133","Chungara","2016-06-24","0716-1182",NULL
"21901927","Orbis","2016-06-24","0030-4387","http://www.fpri.org/orbi"
"32725236","Berliner Und Munchener Tierarztliche Wochenschrift","2016-06-24","0005-9366",NULL
"33239170","Support for Learning","2016-06-24","0268-2141","http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-960"
"34307002","Problems of Economic Transition","2016-06-24","1061-1991",NULL
"35423755","Transactions on Electrical and Electronic Materials","2016-06-24","1229-7607",NULL
"40788348","Statistical Analysis and Data Mining","2016-06-24","1932-1864",NULL
"41786655","Annales De Dermatologie Et De Venereologie","2016-06-24","0151-9638",NULL
"54515175","Evidence-based Cardiovascular Medicine","2016-06-24","1361-2611",NULL
"56024765","Tokyo Journal of Mathematics","2016-06-24","0387-3870",NULL
"59350867","British Journal of Music Education","2016-06-24","0265-0517",NULL
"62458012","Bundesgesundheitsblatt-gesundheitsforschung-gesundheitsschutz","2016-06-24","1436-9990",NULL
"75731070","Acta Morphologica Neerlando-Scandinavica","2016-06-24","0001-6225",NULL
"75796200","Modern Italy","2016-06-24","1353-2944",NULL
"76010543","Surface &amp; Coatings Technology","2016-06-24","0257-8972",NULL
"87681011","Public Money &amp; Management","2016-06-24","0954-0962","http://www.tandfonline.com/loi/rpmm2"
"90591482","International Urogynecology Journal","2016-06-24","0937-3462",NULL
"90740469","Child Welfare","2016-06-24","0009-4021",NULL
"100176667","Sociology Compass","2016-06-24","1751-9020",NULL
"108612764","Journal of Hepato-biliary-pancreatic Sciences","2016-06-24","1868-6974",NULL
"110701829","Perspectives-studies in Translatology","2016-06-24",NULL,NULL
"115742856","Stereotactic and Functional Neurosurgery","2016-06-24","1011-6125",NULL
"117485531","Schizophrenia Bulletin","2016-06-24","0586-7614","http://schizophreniabulletin.oxfordjournals.org"
"118082279","International Journal of Urban and Regional Research","2016-06-24","0309-1317","http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-242"
"132388096","Ethiopian Medical Journal","2016-06-24","0014-1755",NULL
"143190592","Radiation Measurements","2016-06-24","1350-4487",NULL
"147018782","Compendium on Continuing Education for The Practicing Veterinarian","2016-06-24",NULL,NULL
"157213201","Acupuncture in Medicine","2016-06-24","0964-5284","http://aim.bmj.com"
"157766733","Journal of Personality Disorders","2016-06-24","0885-579X",NULL
"160628929","User Modeling and User-adapted Interaction","2016-06-24","0924-1868",NULL
"166796225","Journal of Pharmacy and Pharmaceutical Sciences","2016-06-24","1482-1826",NULL
"171015910","BMC Infectious Diseases","2016-06-24","1471-2334",NULL
"171559003","Journal of Chemical Information and Computer Sciences","2016-06-24","0095-2338",NULL
"174098469","Engineering &amp; Technology","2016-06-24","1750-9637",NULL
"176808670","International Journal of Concrete Structures and Materials","2016-06-24","1976-0485",NULL
"177993953","Journal of Literacy Research","2016-06-24","1086-296X","http://journals.sagepub.com/home/jl"
"180255346","Higher Education in Europe","2016-06-24","0379-7724",NULL
"180407765","Soil Mechanics and Foundation Engineering","2016-06-24","0038-0741",NULL
"180896277","Journal of Logic and Analysis","2016-06-24","1759-9008",NULL
"182449769","Lecture Notes in Physics","2016-06-24","0075-8450","http://www.springerlink.com/content/110316"
"183947471","Canadian Mineralogist","2016-06-24","0008-4476",NULL
"187689108","Folia Morphologica","2016-06-24","0015-5659",NULL
"191932905","Pediatric Allergy and Immunology","2016-06-24","0905-6157",NULL
"193447295","Chemsuschem","2016-06-24","1864-5631",NULL
"193508221","Spectroscopy and Spectral Analysis","2016-06-24","1000-0593",NULL
"197961893","Surgery for Obesity and Related Diseases","2016-06-24","1550-7289",NULL
"198674555","British Journal of Family Planning","2016-06-24","0144-8625",NULL
"200612592","International Journal of Nanotechnology","2016-06-24","1475-7435",NULL
"201186940","Personal Relationships","2016-06-24","1350-4126",NULL
"203387237","International Journal of Surgical Oncology","2016-06-24","2090-1402",NULL
"931548824","Online Information Review","2016-06-24","1468-4527",NULL
"967762373","The Journal of Membrane Biology","2016-06-24","0022-2631","http://www.springer.com/life+sci/biochemistry+and+biophysics/journal/23"
"2479837110","Cold Spring Harbor Perspectives in Medicine","2016-08-23","2157-1422",NULL
"2488725932","European Journal of Hospital Pharmacy-Science and Practice","2016-08-23","2047-9956",NULL
"2736430281","Journal of Dentistry Indonesia","2017-07-31","2355-4800",NULL
"2737816585","Semestre Econ&#x00F3;mico","2017-07-31","0120-6346",NULL
"2738135434","Musica Docta","2017-07-31","2039-9715",NULL
"2751376411","La Revue du praticien","2017-09-15",NULL,NULL
"2754038614","Annales de la Societe belge de medecine tropicale","2017-09-25","0772-4128",NULL
"2754125997","Rivista di neurobiologia : organo ufficiale della Societa&#x0300; dei neurologi, neuroradiologi e neurochirurghi ospedalieri","2017-09-25","0035-6336",NULL
"2754245484","Czasopismo stomatologiczne","2017-09-25","0011-4553",NULL
"2755203678","Ceskoslovenska&#x0301; farmacie","2017-09-25","0009-0530",NULL
"2755483584","Neuro endocrinology letters","2017-09-25",NULL,NULL
"2755761368","Cancer treatment and research","2017-09-25","0927-3042",NULL
"2764375249","Sophia: An African Journal of Philosophy","2017-10-27","1119-443X",NULL
"2764385258","Journal of the Construction Division","2017-10-27","0569-7948",NULL
"2764409965","Canadian Institute of Food Science and Technology journal","2017-10-27","0315-5463",NULL
